Country,SDGi,Life Expectancy,HDI,Per Capita GDP,Region,Income Group,Population,Cropland Footprint,Grazing Footprint,Forest Product Footprint,Carbon Footprint,Fish Footprint,Built up land,Total Ecological Footprint (Production),Cropland Footprint,Grazing Footprint,Forest Product Footprint,Carbon Footprint,Fish Footprint,Built up land,Total Ecological Footprint (Consumption),Cropland,Grazing land,Forest land,Fishing ground,Built up land,Total biocapacity ,Ecological (Deficit) or Reserve,Number of Earths required,Number of Countries required,Year,Other renewables,Biofuels consumption,Solar consumption,Wind consumption,Hydro consumption,Nuclear consumption,Gas consumption,Coal consumption,Oil consumption,CO2 emissions,Urbanization
Benin,51.3,60,0.53,3283.84,Africa,LI, 11.8 ,0.4,0.0,0.2,0.2,0.1,0.0,1.0,0.5,0.0,0.2,0.3,0.2,0.0,1.3,0.4,0.0,0.2,0.0,0.0,0.7,(0.6),0.8,1.8,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5262159,0.48
Bermuda, ,81, , ,North America,HI, 0.1 ,,,,,,,2.5,,,,,,,,,,,,,,,,,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,593568,1
Bhutan,70.4,71,0.67,11656,Asia-Pacific,LM, 0.8 ,0.3,0.3,2.7,0.6,0.0,0.2,4.1,0.6,0.4,2.8,0.8,0.0,0.2,4.8,0.3,0.3,4.1,0.0,0.2,4.9,0.1 ,3.1,1.0,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1618979,0.42
Bolivia,68.1,68,0.72,8757.26,South America,LM, 11.5 ,0.7,1.6,0.2,0.6,0.0,0.1,3.1,0.4,1.6,0.2,0.7,0.0,0.1,3.0,0.7,2.0,11.0,0.0,0.1,13.7,10.8 ,1.9,0.2,2019,0,0,0,0,0,0,0,0,0,22605126,0.7
Bosnia and Herzegovina,71.5,77,0.78,14177,Other Europe,UM, 3.3 ,0.7,0.2,0.8,2.1,0.0,0.0,3.8,1.0,0.4,0.7,1.8,0.3,0.0,4.2,0.7,0.3,1.0,0.0,0.0,2.0,(2.1),2.7,2.1,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20810378,0.49
Botswana,61.3,65,0.72,16404.2,Africa,UM, 2.3 ,0.1,0.4,0.1,0.9,0.0,0.0,1.6,0.3,0.1,0.2,1.5,0.0,0.0,2.2,0.1,2.0,0.7,0.2,0.0,3.0,0.8 ,1.4,0.7,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6727104,0.7
Brazil,72.7,75,0.77,14799.5,South America,UM, 211.1 ,0.8,0.8,0.7,0.7,0.0,0.2,3.3,0.5,0.6,0.4,0.8,0.1,0.2,2.6,0.8,0.8,6.2,0.2,0.2,8.3,5.7 ,1.7,0.3,2019,175.31865,264.4833,17.541286,147.57654,1048.7928,40.79735,357.33347,179.51239,1301.5947,473389800,0.87
Brunei Darussalam,66.1,75,0.83,60819.1,Asia-Pacific,HI, 0.4 ,0.0,0.0,0.1,5.1,0.2,0.0,5.5,0.5,0.3,0.2,4.4,0.4,0.0,5.9,0.0,0.0,1.4,1.2,0.0,2.7,(3.2),3.8,2.2,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bulgaria,73.9,75,0.81,23420.9,EU-28,UM, 7.0 ,1.8,0.1,0.5,1.9,0.0,0.1,4.4,1.1,0.2,0.5,1.9,0.1,0.1,3.9,1.8,0.2,1.1,0.1,0.1,3.3,(0.6),2.5,1.2,2019,5.812401,2.0498633,3.7359266,3.4715438,7.7220783,41.87608,28.30875,59.157574,59.417183,42267464,0.75
Burkina Faso,54.7,60,0.45,2178.32,Africa,LI, 20.3 ,0.4,0.1,0.3,0.1,0.0,0.0,0.9,0.4,0.1,0.3,0.1,0.0,0.0,1.0,0.4,0.1,0.2,0.0,0.0,0.8,(0.2),0.6,1.3,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5620995,0.3
